Restaurant,State,City,Zip Code,Zip Lon,Zip Lat,City Lat,City Lon
Taco Bell,AK,Anchorage,99515,-149.89198728687387,61.11638648278735,61.1508,-149.1091
Taco Bell,AK,Anchorage,99507,-149.77597274938043,61.14974537897122,61.1508,-149.1091
Taco Bell,AK,Anchorage,99501,-149.856565975676,61.22026165953635,61.1508,-149.1091
Taco Bell,AK,Anchorage,99507,-149.77597274938043,61.14974537897122,61.1508,-149.1091
Taco Bell,AK,Anchorage,99503,-156.85749668051554,61.908005263090416,61.1508,-149.1091
Taco Bell,AK,Anchorage,99502,-149.98811323319808,61.1622511073912,61.1508,-149.1091
Taco Bell,AK,Anchorage,99504,-149.74707486508493,61.20401429375055,61.1508,-149.1091
Taco Bell,AK,River,99577,-149.24665266237392,61.1970539746826,,
Taco Bell,AK,Fairbanks,99701,-149.569143990825,67.16981443452558,64.8353,-147.6533
Taco Bell,AK,Fairbanks,99709,-148.21563398096555,64.87811829614827,64.8353,-147.6533
Taco Bell,AK,Richardson,99505,-149.63173382316717,61.26571822906744,32.9716,-96.7093
Taco Bell,AK,Pole,99705,-147.3121950976995,64.76238601301591,,
Taco Bell,AK,Palmer,99645,-148.98706556610142,61.63028352883162,40.7007,-75.2628
Taco Bell,AK,Soldotna,99669,-151.00350898711167,60.414503135755815,,
Taco Bell,AK,Wasilla,99654,-149.9008733282436,61.45450460885873,61.577,-149.466
Taco Bell,AL,Alabaster,35007,-86.79716325340891,33.21592724419905,33.2198,-86.8225
Taco Bell,AL,Alabaster,35007,-86.79716325340891,33.21592724419905,33.2198,-86.8225
Taco Bell,AL,Albertville,35950,-86.2620236849645,34.252588790657356,34.2633,-86.2108
Taco Bell,AL,City,35010,-85.93683201642752,32.91641910973731,,
Taco Bell,AL,Andalusia,36420,-86.57647662412698,31.176839699401462,31.3102,-86.4781
Taco Bell,AL,Anniston,36206,-85.81433079331903,33.734048851486094,33.6712,-85.8135
Taco Bell,AL,Arab,35016,-86.50142686512423,34.32331623062377,34.3309,-86.4991
Taco Bell,AL,Athens,35611,-87.08567149929918,34.76710884986205,33.9508,-83.3689
Taco Bell,AL,Athens,35611,-87.08567149929918,34.76710884986205,33.9508,-83.3689
Taco Bell,AL,Atmore,36502,-87.49392849198698,31.14063137986794,,
Taco Bell,AL,Attalla,35954,-86.06005574311327,34.08839834868732,,
