Restaurant,State,City,Zip Code,Zip Lon,Zip Lat,City Lat,City Lon
Taco Bell,NY,Astoria,11105,-73.9062502,40.77897163,46.1856,-123.8053
Taco Bell,NY,Baldwin,11510,-73.60803329,40.6502764,40.6511,-73.6075
Taco Bell,NY,Manor,10510,-73.83446273,41.14096732,39.9848,-76.4216
Taco Bell,NY,Bronx,10460,-73.87959738,40.84173643,40.8501,-73.8662
Taco Bell,NY,Bronx,10475,-73.82528703,40.8694731,40.8501,-73.8662
Taco Bell,NY,Bronx,10451,-73.92383877,40.82071729,40.8501,-73.8662
Taco Bell,NY,Bronx,10472,-73.86931014,40.8295562,40.8501,-73.8662
Taco Bell,NY,Bronx,10457,-73.89866237,40.8471622,40.8501,-73.8662
Taco Bell,NY,Bronx,10452,-73.92343754,40.83739131,40.8501,-73.8662
Taco Bell,NY,Bronx,10462,-73.85863943,40.84280216,40.8501,-73.8662
Taco Bell,NY,Bronx,10453,-73.91351139,40.85231944,40.8501,-73.8662
Taco Bell,NY,Bronx,10468,-73.90005572,40.86806499,40.8501,-73.8662
Taco Bell,NY,Bronx,10458,-73.88815928,40.86252931,40.8501,-73.8662
Taco Bell,NY,Bronx,10451,-73.92383877,40.82071729,40.8501,-73.8662
Taco Bell,NY,Bronx,10459,-73.89294098,40.82585578,40.8501,-73.8662
Taco Bell,NY,Bronx,10466,-73.84594145,40.8909465,40.8501,-73.8662
Taco Bell,NY,Bronx,10467,-73.87394466,40.88090241,40.8501,-73.8662
Taco Bell,NY,Bronx,10463,-73.90663618,40.88082729,40.8501,-73.8662
Taco Bell,NY,Bronx,10461,-73.84058376,40.84739478,40.8501,-73.8662
Taco Bell,NY,Bronx,10452,-73.92343754,40.83739131,40.8501,-73.8662
Taco Bell,NY,Brooklyn,11209,-74.03013381,40.62199442,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11223,-73.97342588,40.59714381,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11236,-73.90102707,40.63955551,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11216,-73.94931273,40.68076898,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11221,-73.92787852,40.69133996,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11226,-73.95664862,40.64644831,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11222,-73.94772138,40.72855954,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11212,-73.91301871,40.66293225,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11206,-73.94235759,40.70195405,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11224,-73.98868881,40.57669299,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11234,-73.91070989,40.60602664,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11220,-74.01655212,40.64108686,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11214,-73.99621515,40.59867999,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11211,-73.95310298,40.7124247,40.6501,-73.9496
Taco Bell,NY,Brooklyn,11211,-73.95310298,40.7124247,40.6501,-73.9496
Taco Bell,NY,Carmel,10512,-73.71210167,41.44920377,39.965,-86.146
Taco Bell,NY,Chester,10918,-74.25870634,41.34770128,39.8456,-75.3718
Taco Bell,NY,Corona,11368,-73.85257952,40.74962494,33.8616,-117.5649
Taco Bell,NY,Manor,10567,-73.89802765,41.28897777,39.9848,-76.4216
Taco Bell,NY,Elmhurst,11370,-73.88740198,40.77568153,41.8973,-87.9432
Taco Bell,NY,Meadow,11554,-73.56021168,40.71958585,,
Taco Bell,NY,Elmont,11003,-73.70797074,40.70139221,40.7033,-73.7078
Taco Bell,NY,Elmsford,10523,-73.8189257,41.0600274,,
Taco Bell,NY,Rockaway,11691,-73.76124404,40.60146624,40.9602,-74.4988
Taco Bell,NY,Park,11001,-73.70448993,40.72352569,,
Taco Bell,NY,Flushing,11358,-73.79637273,40.76047334,,
Taco Bell,NY,Flushing,11354,-73.82723384,40.76863829,,
Taco Bell,NY,Square,11010,-73.67501905,40.70058952,,
Taco Bell,NY,Freeport,11520,-73.58288175,40.65000181,40.6515,-73.585
Taco Bell,NY,Cove,11542,-73.62878542,40.87088273,,
Taco Bell,NY,Greenvale,11548,-73.60689098,40.8146248,,
Taco Bell,NY,Hempstead,11550,-73.62009794,40.70171121,40.6629,-73.6089
Taco Bell,NY,Beach,11414,-73.84496943,40.65811684,,
Taco Bell,NY,Heights,11372,-73.88366633,40.75167495,,
Taco Bell,NY,Jamaica,11432,-73.79307109,40.71535871,,
Taco Bell,NY,Jamaica,11419,-73.82294166,40.68863778,,
Taco Bell,NY,Jamaica,11433,-73.78691137,40.69815151,,
Taco Bell,NY,Jamaica,11432,-73.79307109,40.71535871,,
Taco Bell,NY,Jamaica,11418,-73.83601246,40.70020244,,
Taco Bell,NY,Lawrence,11559,-73.71729608,40.60653255,38.9597,-95.2642
Taco Bell,NY,Beach,11561,-73.64803943,40.58931644,,
Taco Bell,NY,Lynbrook,11563,-73.673722,40.65725534,40.6579,-73.6742
Taco Bell,NY,Manhattan,10029,-73.94397004,40.79176316,40.7834,-73.9662
Taco Bell,NY,Merrick,11566,-73.55409567,40.66310292,40.6515,-73.5535
Taco Bell,NY,Village,11379,-73.8795978,40.71675268,,
Taco Bell,NY,Middletown,10940,-74.47014604,41.45119019,39.5033,-84.3659
Taco Bell,NY,Middletown,10940,-74.47014604,41.45119019,39.5033,-84.3659
Taco Bell,NY,Lake,10547,-73.84620691,41.3116502,,
Taco Bell,NY,Monroe,10950,-74.1988348,41.31841356,32.5185,-92.0774
Taco Bell,NY,Nanuet,10954,-74.01279242,41.09989836,41.0957,-74.0155
Taco Bell,NY,Park,11040,-73.67973199,40.74559865,,
Taco Bell,NY,Rochelle,10801,-73.78449928,40.91757862,41.9197,-89.0629
Taco Bell,NY,York,10033,-73.93405062,40.85048207,39.9651,-76.7315
Taco Bell,NY,York,10014,-74.00698523,40.73368328,39.9651,-76.7315
Taco Bell,NY,York,10018,-73.99313995,40.75533198,39.9651,-76.7315
Taco Bell,NY,York,10128,-73.95001064,40.78142833,39.9651,-76.7315
Taco Bell,NY,York,10003,-73.98918086,40.73182933,39.9651,-76.7315
Taco Bell,NY,York,10029,-73.94397004,40.79176316,39.9651,-76.7315
Taco Bell,NY,York,10011,-74.00062006,40.74204292,39.9651,-76.7315
Taco Bell,NY,York,10019,-73.98734157,40.76582888,39.9651,-76.7315
Taco Bell,NY,York,10010,-73.98245547,40.73910428,39.9651,-76.7315
Taco Bell,NY,York,10003,-73.98918086,40.73182933,39.9651,-76.7315
Taco Bell,NY,York,10035,-73.92957106,40.79545888,39.9651,-76.7315
Taco Bell,NY,York,10018,-73.99313995,40.75533198,39.9651,-76.7315
Taco Bell,NY,York,10011,-74.00062006,40.74204292,39.9651,-76.7315
Taco Bell,NY,York,10036,-73.9898273,40.75925432,39.9651,-76.7315
Taco Bell,NY,York,10003,-73.98918086,40.73182933,39.9651,-76.7315
Taco Bell,NY,York,10028,-73.95351366,40.77644168,39.9651,-76.7315
Taco Bell,NY,York,10065,-73.96314401,40.76462844,39.9651,-76.7315
Taco Bell,NY,York,10010,-73.98245547,40.73910428,39.9651,-76.7315
Taco Bell,NY,York,10038,-74.00253963,40.70933843,39.9651,-76.7315
Taco Bell,NY,York,10001,-73.99717705,40.75063644,39.9651,-76.7315
Taco Bell,NY,York,10032,-73.94282954,40.83879196,39.9651,-76.7315
Taco Bell,NY,York,10018,-73.99313995,40.75533198,39.9651,-76.7315
Taco Bell,NY,York,10031,-73.95004499,40.82528818,39.9651,-76.7315
Taco Bell,NY,York,10022,-73.96794887,40.75863042,39.9651,-76.7315
Taco Bell,NY,York,10034,-73.92407167,40.86719867,39.9651,-76.7315
Taco Bell,NY,York,10029,-73.94397004,40.79176316,39.9651,-76.7315
Taco Bell,NY,Oceanside,11572,-73.63682737,40.63233259,33.2247,-117.3083
Taco Bell,NY,Chester,10573,-73.67728102,41.01686935,39.8456,-75.3718
Taco Bell,NY,Park,11374,-73.86151528,40.72646768,,
Taco Bell,NY,Ridgewood,11385,-73.89012188,40.70104962,40.9821,-74.1127
Taco Bell,NY,Centre,11570,-73.63855519,40.66569754,,
Taco Bell,NY,Island,10302,-74.13772897,40.63071622,,
Taco Bell,NY,Island,10314,-74.16645432,40.59931648,,
Taco Bell,NY,Island,10306,-74.12545787,40.57152301,,
Taco Bell,NY,Island,10309,-74.2206027,40.5313611,,
Taco Bell,NY,Island,10305,-74.07539192,40.59568054,,
Taco Bell,NY,Island,10312,-74.1816936,40.54508734,,
Taco Bell,NY,Haverstraw,10993,-73.97560961,41.21010007,41.2055,-74.0384
Taco Bell,NY,Nyack,10994,-73.97264558,41.0975493,,
Taco Bell,NY,Westbury,11590,-73.57462399,40.75541152,40.7599,-73.5891
Taco Bell,NY,Woodhaven,11421,-73.85862631,40.69406191,42.132,-83.2374
Taco Bell,NY,Woodside,11377,-73.90516013,40.74482145,,
Taco Bell,NY,Yonkers,10710,-73.84711199,40.96732793,40.9466,-73.8673
Taco Bell,NY,Yonkers,10704,-73.86177004,40.91889707,40.9466,-73.8673
Taco Bell,NY,Yonkers,10703,-73.8802485,40.95984318,40.9466,-73.8673
Taco Bell,NY,Heights,10598,-73.79326194,41.2818923,,
Chipotle,NY,Astoria,11105,-73.9062502,40.77897163,46.1856,-123.8053
Chipotle,NY,Astoria,11103,-73.91345744,40.76257574,46.1856,-123.8053
Chipotle,NY,Bayside,11360,-73.7815483,40.78034854,,
Chipotle,NY,Bronx,10459,-73.89294098,40.82585578,40.8501,-73.8662
Chipotle,NY,Bronx,10461,-73.84058376,40.84739478,40.8501,-73.8662
Chipotle,NY,Bronx,10463,-73.90663618,40.88082729,40.8501,-73.8662
Chipotle,NY,Bronx,10463,-73.90663618,40.88082729,40.8501,-73.8662
Chipotle,NY,Bronx,10475,-73.82528703,40.8694731,40.8501,-73.8662
Chipotle,NY,Bronx,10462,-73.85863943,40.84280216,40.8501,-73.8662
Chipotle,NY,Bronx,10452,-73.92343754,40.83739131,40.8501,-73.8662
Chipotle,NY,Bronx,10451,-73.92383877,40.82071729,40.8501,-73.8662
Chipotle,NY,Bronx,10455,-73.90858973,40.81471272,40.8501,-73.8662
Chipotle,NY,Bronx,10462,-73.85863943,40.84280216,40.8501,-73.8662
Chipotle,NY,Bronx,10467,-73.87394466,40.88090241,40.8501,-73.8662
Chipotle,NY,Bronx,10461,-73.84058376,40.84739478,40.8501,-73.8662
Chipotle,NY,Bronx,10458,-73.88815928,40.86252931,40.8501,-73.8662
Chipotle,NY,Bronx,10458,-73.88815928,40.86252931,40.8501,-73.8662
Chipotle,NY,Bronx,10451,-73.92383877,40.82071729,40.8501,-73.8662
Chipotle,NY,Bronx,10465,-73.82309969,40.82386527,40.8501,-73.8662
Chipotle,NY,Brooklyn,11201,-73.98966015,40.69468421,40.6501,-73.9496
Chipotle,NY,Brooklyn,11226,-73.95664862,40.64644831,40.6501,-73.9496
Chipotle,NY,Brooklyn,11216,-73.94931273,40.68076898,40.6501,-73.9496
Chipotle,NY,Brooklyn,11229,-73.94393787,40.60080036,40.6501,-73.9496
Chipotle,NY,Brooklyn,11201,-73.98966015,40.69468421,40.6501,-73.9496
Chipotle,NY,Brooklyn,11221,-73.92787852,40.69133996,40.6501,-73.9496
Chipotle,NY,Brooklyn,11213,-73.9363417,40.67107956,40.6501,-73.9496
Chipotle,NY,Brooklyn,11215,-73.9868781,40.6625172,40.6501,-73.9496
Chipotle,NY,Brooklyn,11201,-73.98966015,40.69468421,40.6501,-73.9496
Chipotle,NY,Brooklyn,11215,-73.9868781,40.6625172,40.6501,-73.9496
Chipotle,NY,Brooklyn,11207,-73.89421073,40.6707583,40.6501,-73.9496
Chipotle,NY,Brooklyn,11214,-73.99621515,40.59867999,40.6501,-73.9496
Chipotle,NY,Brooklyn,11210,-73.94632286,40.62814468,40.6501,-73.9496
Chipotle,NY,Brooklyn,11234,-73.91070989,40.60602664,40.6501,-73.9496
Chipotle,NY,Brooklyn,11213,-73.9363417,40.67107956,40.6501,-73.9496
Chipotle,NY,Brooklyn,11214,-73.99621515,40.59867999,40.6501,-73.9496
Chipotle,NY,Brooklyn,11238,-73.96380054,40.67916957,40.6501,-73.9496
Chipotle,NY,Brooklyn,11205,-73.96624169,40.69466147,40.6501,-73.9496
Chipotle,NY,Brooklyn,11232,-74.00579748,40.65630799,40.6501,-73.9496
Chipotle,NY,Brooklyn,11209,-74.03013381,40.62199442,40.6501,-73.9496
Chipotle,NY,Brooklyn,11201,-73.98966015,40.69468421,40.6501,-73.9496
Chipotle,NY,Brooklyn,11234,-73.91070989,40.60602664,40.6501,-73.9496
Chipotle,NY,Brooklyn,11204,-73.98483085,40.61877751,40.6501,-73.9496
Chipotle,NY,Brooklyn,11206,-73.94235759,40.70195405,40.6501,-73.9496
Chipotle,NY,Place,11514,-73.61247656,40.74989202,,
Chipotle,NY,Valley,10926,-74.12453175,41.30157147,32.8088,-85.181
Chipotle,NY,Valley,10917,-74.1171998,41.32428636,32.8088,-85.181
Chipotle,NY,Corona,11368,-73.85257952,40.74962494,33.8616,-117.5649
Chipotle,NY,Ferry,10522,-73.86473498,41.01229794,,
Chipotle,NY,Meadow,11554,-73.56021168,40.71958585,,
Chipotle,NY,Elmhurst,11373,-73.87853853,40.73884287,41.8973,-87.9432
Chipotle,NY,Elmhurst,11373,-73.87853853,40.73884287,41.8973,-87.9432
Chipotle,NY,Elmhurst,11373,-73.87853853,40.73884287,41.8973,-87.9432
Chipotle,NY,Elmont,11003,-73.70797074,40.70139221,40.7033,-73.7078
Chipotle,NY,Flushing,11354,-73.82723384,40.76863829,,
Chipotle,NY,Hills,11375,-73.84614009,40.72096357,,
Chipotle,NY,Meadows,11366,-73.78501665,40.72815641,,
Chipotle,NY,City,11530,-73.63724422,40.72736085,,
Chipotle,NY,Neck,11021,-73.72897215,40.78646731,,
Chipotle,NY,Falls,10928,-73.99770613,41.35342033,40.1686,-74.7915
Chipotle,NY,Beach,11414,-73.84496943,40.65811684,,
Chipotle,NY,Beach,11414,-73.84496943,40.65811684,,
Chipotle,NY,Heights,11372,-73.88366633,40.75167495,,
Chipotle,NY,Jamaica,11435,-73.80963685,40.70122592,,
Chipotle,NY,Jamaica,11432,-73.79307109,40.71535871,,
Chipotle,NY,Lawrence,11559,-73.71729608,40.60653255,38.9597,-95.2642
Chipotle,NY,City,11101,-73.93889097,40.74677208,,
Chipotle,NY,Mamaroneck,10543,-73.73561875,40.95211829,40.9443,-73.7488
Chipotle,NY,Maspeth,11378,-73.909678,40.72472904,,
Chipotle,NY,Merrick,11566,-73.55409567,40.66310292,40.6515,-73.5535
Chipotle,NY,Middletown,10940,-74.47014604,41.45119019,39.5033,-84.3659
Chipotle,NY,Mineola,11501,-73.6389045,40.7462856,40.747,-73.6394
Chipotle,NY,Lake,10547,-73.84620691,41.3116502,,
Chipotle,NY,Kisco,10549,-73.7209446,41.20063429,,
Chipotle,NY,Nanuet,10954,-74.01279242,41.09989836,41.0957,-74.0155
Chipotle,NY,Park,11040,-73.67973199,40.74559865,,
Chipotle,NY,Rochelle,10804,-73.78632501,40.94912156,41.9197,-89.0629
Chipotle,NY,York,10004,-74.01601971,40.69408788,39.9651,-76.7315
Chipotle,NY,York,10038,-74.00253963,40.70933843,39.9651,-76.7315
Chipotle,NY,York,10065,-73.96314401,40.76462844,39.9651,-76.7315
Chipotle,NY,York,10038,-74.00253963,40.70933843,39.9651,-76.7315
Chipotle,NY,York,10065,-73.96314401,40.76462844,39.9651,-76.7315
Chipotle,NY,York,10003,-73.98918086,40.73182933,39.9651,-76.7315
Chipotle,NY,York,10010,-73.98245547,40.73910428,39.9651,-76.7315
Chipotle,NY,York,10021,-73.95874075,40.76922449,39.9651,-76.7315
Chipotle,NY,York,10020,-73.98003765,40.75921371,39.9651,-76.7315
Chipotle,NY,York,10019,-73.98734157,40.76582888,39.9651,-76.7315
Chipotle,NY,York,10011,-74.00062006,40.74204292,39.9651,-76.7315
Chipotle,NY,York,10028,-73.95351366,40.77644168,39.9651,-76.7315
Chipotle,NY,York,10017,-73.97248923,40.75235914,39.9651,-76.7315
Chipotle,NY,York,10022,-73.96794887,40.75863042,39.9651,-76.7315
Chipotle,NY,York,10029,-73.94397004,40.79176316,39.9651,-76.7315
Chipotle,NY,York,10004,-74.01601971,40.69408788,39.9651,-76.7315
Chipotle,NY,York,10014,-74.00698523,40.73368328,39.9651,-76.7315
Chipotle,NY,York,10024,-73.97485843,40.79219109,39.9651,-76.7315
Chipotle,NY,York,10001,-73.99717705,40.75063644,39.9651,-76.7315
